データ日,入院軽中,呼吸器ICU,死亡者,URL,備考
2020-03-01,94,23,5,https://www.mhlw.go.jp/stf/newpage_09863.html,
2020-03-02,99,23,6,https://www.mhlw.go.jp/stf/newpage_09889.html,
2020-03-03,102,24,6,https://www.mhlw.go.jp/stf/newpage_09925.html,
2020-03-04,104,24,6,https://www.mhlw.go.jp/stf/newpage_09964.html,
2020-03-05,106,27,6,https://www.mhlw.go.jp/stf/newpage_09993.html,
2020-03-06,141,30,6,https://www.mhlw.go.jp/stf/newpage_10022.html,
2020-03-07,178,28,6,https://www.mhlw.go.jp/stf/newpage_10028.html,
2020-03-08,195,27,6,https://www.mhlw.go.jp/stf/newpage_10032.html,
2020-03-09,181,33,7,https://www.mhlw.go.jp/stf/newpage_10062.html,
2020-03-10,198,31,9,https://www.mhlw.go.jp/stf/newpage_10094.html,
2020-03-11,194,26,12,https://www.mhlw.go.jp/stf/newpage_10130.html,
2020-03-12,229,29,15,https://www.mhlw.go.jp/stf/newpage_10157.html,
2020-03-13,268,32,19,https://www.mhlw.go.jp/stf/newpage_10187.html,
2020-03-14,292,35,21,https://www.mhlw.go.jp/stf/newpage_10201.html,
2020-03-15,298,36,22,https://www.mhlw.go.jp/stf/newpage_10204.html,
2020-03-16,300,41,24,https://www.mhlw.go.jp/stf/newpage_10226.html,
2020-03-17,317,46,28,https://www.mhlw.go.jp/stf/newpage_10251.html,
2020-03-18,337,46,29,https://www.mhlw.go.jp/stf/newpage_10309.html,
2020-03-19,356,49,31,https://www.mhlw.go.jp/stf/newpage_10335.html,
2020-03-20,373,50,33,https://www.mhlw.go.jp/stf/newpage_10351.html,
2020-03-21,402,55,35,https://www.mhlw.go.jp/stf/newpage_10356.html,
2020-03-22,404,57,36,https://www.mhlw.go.jp/stf/newpage_10359.html,
2020-03-23,428,54,41,https://www.mhlw.go.jp/stf/newpage_10385.html,
2020-03-24,448,55,42,https://www.mhlw.go.jp/stf/newpage_10426.html,
